Fecha;Camas UCI ocupadas Covid-19;Total camas UCI COVID 19 reportadas por IPS;Ocupación UCI COVID 19
8/04/2020;106;543;19,50%
9/04/2020;136;608;22,40%
10/04/2020;150;596;25,20%
11/04/2020;148;597;24,80%
12/04/2020;178;576;30,90%
13/04/2020;153;562;27,20%
14/04/2020;142;481;29,50%
15/04/2020;157;540;29,10%
16/04/2020;150;541;27,70%
17/04/2020;130;540;24,10%
18/04/2020;137;539;25,40%
19/04/2020;138;539;25,60%
20/04/2020;142;548;25,90%
21/04/2020;143;548;26,10%
22/04/2020;151;545;27,70%
23/04/2020;151;558;27,10%
24/04/2020;154;558;27,60%
25/04/2020;149;563;26,50%
26/04/2020;173;563;30,70%
27/04/2020;165;563;29,30%
28/04/2020;176;563;31,30%
29/04/2020;180;543;33,10%
30/04/2020;175;543;32,20%
1/05/2020;172;543;31,70%
2/05/2020;183;543;33,70%
3/05/2020;175;547;32,00%
4/05/2020;179;547;32,70%
5/05/2020;175;559;31,30%
6/05/2020;189;569;33,20%
7/05/2020;200;557;35,90%
8/05/2020;208;553;37,60%
9/05/2020;187;565;33,10%
10/05/2020;190;562;33,80%
11/05/2020;190;557;34,10%
12/05/2020;195;568;34,30%
13/05/2020;206;582;35,40%
14/05/2020;194;584;33,20%
15/05/2020;179;591;30,30%
16/05/2020;203;593;34,20%
17/05/2020;217;610;35,60%
18/05/2020;217;613;35,40%
19/05/2020;235;634;37,10%
20/05/2020;232;638;36,40%
21/05/2020;227;638;35,60%
22/05/2020;242;646;37,50%
23/05/2020;246;648;38,00%
24/05/2020;266;665;40,00%
25/05/2020;280;668;41,90%
26/05/2020;298;668;44,60%
27/05/2020;298;668;44,60%
28/05/2020;283;668;42,40%
29/05/2020;286;670;42,70%
30/05/2020;276;670;41,20%
31/05/2020;290;670;43,30%
1/06/2020;295;670;44,00%
2/06/2020;312;670;46,60%
3/06/2020;316;670;47,20%
4/06/2020;304;674;45,10%
5/06/2020;321;712;45,10%
6/06/2020;307;716;42,90%
7/06/2020;320;716;44,70%
9/06/2020;338;722;46,80%
10/06/2020;347;716;48,50%
11/06/2020;386;722;53,50%
12/06/2020;394;722;54,60%
13/06/2020;388;724;53,60%
14/06/2020;405;724;55,90%
15/06/2020;433;727;59,60%
16/06/2020;418;734;56,90%
